title,link,published,retrieved_at,relevanceSource,author,abstract,category
Equity Yields,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1931188,09/21/2011 10:15,06/07/2024 11:05,randomForestClassifier,"Jules H. van Binsbergen, Wouter Hueskes, Ralph S. J. Koijen, Evert B. Vrugt","We study a new data set of prices of traded dividends with maturities up to 10 years across three world regions: the US, Europe, and Japan. We use these asset prices to construct equity yields, analogous to bond yields. We decompose these yields to obtain a term structure of expected dividend growth rates and a term structure of risk premia, which allows us to decompose the equity risk premium by maturity. We find that both expected dividend growth rates and risk premia exhibit substantial variation over time, particularly for short maturities. In addition to predicting dividend growth, equity yields help predict other measures of economic growth such as consumption growth. We relate the dynamics of growth expectations to recent events such as the financial crisis and the earthquake in Japan.",
Systematic Liquidity,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=255116,03/21/2001 00:00,06/07/2024 11:04,randomForestClassifier,"Gur Huberman, Dominika Halka","Most of the market microstructure literature has focused on the liquidity of individual securities, whereas much of the asset pricing literature has examined the association between systematic risk and return.  We document the presence of a systematic, time-varying component of liquidity.  At the moment, neither the inventory, nor the asymmetric information-based approach to liquidity explains the systematic, time-varying component of liquidity.",
Dollar Funding and the Lending Behavior of Global Banks,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2171265,11/06/2012 20:41,06/07/2024 11:04,randomForestClassifier,"Victoria Ivashina, David S. Scharfstein, Jeremy C. Stein","A large share of dollar-denominated lending is done by non-U.S. banks, particularly European banks. We present a model in which such banks cut dollar lending more than euro lending in response to a shock to their credit quality.  Because these banks rely on wholesale dollar funding, while raising more of their euro funding through insured retail deposits, the shock leads to a greater withdrawal of dollar funding.  Banks can borrow in euros and swap into dollars to make up for the dollar shortfall, but this may lead to violations of covered interest parity (CIP) when there is limited capital to take the other side of the swap trade.  In this case, synthetic dollar borrowing becomes expensive, which causes cuts in dollar lending. We test the model in the context of the Eurozone sovereign crisis, which escalated in the second half of 2011 and resulted in U.S. money-market funds sharply reducing the funding provided to European banks. Coincident with the contraction in dollar funding, there were significant violations of euro-dollar CIP. Moreover, dollar lending by Eurozone banks fell relative to their euro lending in both the U.S. and Europe; this was not the case for U.S. global banks. Finally, European banks that were more reliant on money funds experienced bigger declines in dollar lending.",
Real Credit Cycles,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3776984,02/01/2021 06:20,06/07/2024 11:04,randomForestClassifier,"Pedro Bordalo, Nicola Gennaioli, Andrei Shleifer, Stephen Terry","We incorporate diagnostic expectations into a workhorse neoclassical business cycle model with heterogeneous firms and risky debt. A realistic degree of diagnostic overreaction estimated from US firm forecasts generates economic fragility during good times, countercyclical credit spreads, and boom-bust credit cycles at the firm and aggregate levels. Good times predict future disappointment, spread increases, low bond returns, and investment declines. To generate the size of spread increases observed during 2008-9, the model requires only disappointment of overoptimistic beliefs rather than large negative shocks. Diagnostic expectations offer a realistic, parsimonious way to produce financial reversals in business cycle models.",
"Information Shocks, Liquidity Shocks, Jumps, and Price Discovery: Evidence from the U.S. Treasury Market",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1106897,03/18/2008 00:00,06/07/2024 11:05,randomForestClassifier,"George J. Jiang, Ingrid Lo, Adrien Verdelhan","In this paper, we identify jumps in U.S. Treasury-bond (T-bond) prices and investigate what causes such unexpected large price changes. In particular, we examine the relative importance of macroeconomic news announcements versus variation in market liquidity in explaining the observed jumps in the U.S. Treasury market. We show that while jumps occur mostly at prescheduled macroeconomic announcement times, announcement surprises have limited power in explaining bond price jumps. Our analysis further shows that preannouncement liquidity shocks, such as changes in the bid-ask spread and market depth, have significant predictive power for jumps. The predictive power is significant even after controlling for information shocks. Finally, we present evidence that post-jump order flow is less informative relative to the case where there is no jump at announcement.",
The Cross-Section of Foreign Currency Risk Premia and Consumption Growth Risk,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1697648,10/25/2010 00:00,06/07/2024 11:05,randomForestClassifier,"Hanno N. Lustig, Adrien Verdelhan","Aggregate consumption growth risk explains why low interest rate currencies do not appreciate as much as the interest rate differential and why high interest rate currencies do not depreciate as much as the interest rate differential. Domestic investors earn negative excess returns on low interest rate currency portfolios and positive excess returns on high interest rate currency portfolios. Because high interest rate currencies depreciate on average when domestic consumption growth is low and low interest rate currencies appreciate under the same conditions, low interest rate currencies provide domestic investors with a hedge against domestic aggregate consumption growth risk.",
Shortfall Aversion,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2501538,09/25/2014 18:59,06/07/2024 11:04,randomForestClassifier,"Paolo Guasoni, Gur Huberman, Dan Ren","Shortfall aversion reflects the higher utility loss of a spending cut from a reference point than the utility gain from a similar spending increase, in the spirit of Prospect Theory's loss aversion. This paper posits a model of utility of spending scaled by a function of past peak spending, called target spending. The discontinuity of the marginal utility at the target spending corresponds to shortfall aversion. According to the closed-form solution of the associated spending-investment problem, (i) the spending rate is constant and equals the historical peak for relatively large values of wealth/target; and (ii) the spending rate increases (and the target with it) when that ratio reaches its model-determined upper bound. These features contrast with traditional Merton-style models which call for spending rates proportional to wealth. A simulation using the 1926-2012 realized returns suggests that spending of the very shortfall averse is typically increasing and very smooth.",
Who Holds Sovereign Debt and Why It Matters,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4114081,06/01/2022 02:43,06/07/2024 11:04,randomForestClassifier,"Xiang Fang, Bryan Hardy, Karen K. Lewis","This paper studies the impact of investor composition on the sovereign debt market. We construct an aggregate data set of sovereign debt holdings by foreign and domestic bank, non-bank private, and official investors for 95 countries over twenty years. We find that private non-bank investors absorb most of the increase in sovereign debt supply. We further find that foreign non-bank investor demand is most responsive to the yield for emerging market (EM) debt, while yield elasticity for all investors is much lower for advanced economy debt. We show that EM sovereigns are highly vulnerable to losing their foreign non-bank investors.",
Epidemics in the New Keynesian Model,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3637731,06/29/2020 14:30,06/07/2024 11:05,randomForestClassifier,"Martin Eichenbaum, Sergio T. Rebelo, Mathias Trabandt","This paper documents the behavior of key macro aggregates in the wake of the Covid epidemic. We show that a unique feature of the Covid recession is that the peak-to-trough decline is roughly the same for consumption, investment, and output. In contrast to the 2008 recession, there was only a short-lived rise in financial stress that quickly subsided. Finally, there was mild deflation between the peak and the trough of the Covid recession. We argue that a New Keynesian model that explicitly incorporates epidemic dynamics captures these qualitative features of the Covid recession. A key feature of the model is that Covid acts like a negative shock to the demand for consumption and the supply of labor.",
How Active is Your Fund Manager? A New Measure that Predicts Performance,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1468203,09/08/2009 13:02,06/07/2024 11:04,randomForestClassifier,"Martijn Cremers, Antti Petajisto","We introduce a new measure of active portfolio management, Active Share, which represents the share of portfolio holdings that differ from the benchmark index holdings. We compute Active Share for domestic equity mutual funds from 1980 to 2003. We relate Active Share to fund characteristics such as size, expenses, and turnover in the cross-section, and we also examine its evolution over time. Active Share predicts fund performance: funds with the highest Active Share significantly outperform their benchmarks, both before and after expenses, and they exhibit strong performance persistence. Nonindex funds with the lowest Active Share underperform their benchmarks.",
Does Investor Misvaluation Drive the Takeover Market?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1275877,10/06/2008 00:00,06/07/2024 11:04,randomForestClassifier,"Ming Dong, David A. Hirshleifer, Scott A. Richardson, Siew Hong Teoh","This paper uses pre-offer market valuations to evaluate the misvaluation and Q theories of takeovers. Bidder and target valuations (price-to-book, or price-to-residual-income-model-value) are related to means of payment, mode of acquisition, premia, target hostility, offer success, and bidder and target announcement-period returns. The evidence is broadly consistent with both hypotheses. The evidence for the Q hypothesis is stronger in the pre-1990 period than in the 1990-2000 period, whereas the evidence for the misvaluation hypothesis is stronger in the 1990-2000 period than in the pre-1990 period.",
The Effects of Cross-Border Bank Mergers on Bank Risk and Value,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1295263,11/04/2008 00:00,06/07/2024 11:04,randomForestClassifier,"Yakov Amihud, Gayle L. DeLong","This paper examines the effects of cross border bank mergers on the risk and (abnormal)returns of acquiring banks. We find that overall, the acquirers  risk neither increases nor decreases. In particular, on average neither their total risk nor their systematic risk fallsrelative to banks in their home banking market. The abnormal returns to acquirers arenegative and significant, but are somewhat higher when risk increases relative to banks in the acquirer s home country.",
Asset Pricing with Fading Memory,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3464500,10/07/2019 17:30,06/07/2024 11:05,randomForestClassifier,"Stefan Nagel, Zhengyang Xu","Building on evidence that lifetime experiences shape individuals' macroeconomic expectations, we study asset prices in an economy in which a representative agent learns with fading memory about unconditional mean endowment growth. With IID fundamentals, constant risk aversion, and memory decay calibrated to microdata, the model generates a high and strongly counter-cyclical objective equity premium, while the subjective equity premium is virtually constant. Consistent with this theory, experienced payout growth (a weighted average of past growth rates) is negatively related to future stock market excess returns and subjective expectations errors in surveys, and positively to analyst forecasts of long-run earnings growth.",
Measuring Agency MBS Market Liquidity with Transaction Data,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3749998,12/16/2014 13:09,06/07/2024 11:03,randomForestClassifier,"Sean D. Campbell, Canlin Li, Jay Im",Agency mortgage backed securities are fixed income securities that entitle the owner to principal and interest payments on underlying residential mortgages that are guaranteed by government-sponsored enterprises or government agencies.,
Do Funds Make More When They Trade More?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2529873,11/24/2014 08:37,06/07/2024 11:04,randomForestClassifier,"Lubos Pastor, Robert F. Stambaugh, Lucian A. Taylor","We model optimal fund turnover in the presence of time-varying profit opportunities. Our model predicts a positive relation between an active fund’s turnover and its subsequent benchmark-adjusted return. We find such a relation for equity mutual funds. This time-series relation between turnover and performance is stronger than the cross-sectional relation, as the model predicts. Also as predicted, the turnover-performance relation is stronger for funds trading less-liquid stocks, such as small-cap funds. Turnover has a common component that is positively correlated with proxies for stock mispricing, consistent with funds exploiting time-varying opportunities. Turnover’s common component helps predict fund returns.",
Presidential Politics and Stock Returns,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2960458,04/29/2017 09:05,06/07/2024 11:06,randomForestClassifier,"Robert D. Arnott, Bradford  Cornell, Vitali Kalesnik","In a provocative paper, Santa-Clara and Valkanov (2003) present evidence that stock market returns are much higher under Democratic presidents than Republican presidents.  Their work was updated by Pastor and Veronesi (2017), who find that the effect is even stronger when the data are extended through the end of 2015.  Given the strength of the results, Pastor and Veronesi go on to develop a model based on time varying risk aversion to explain the pattern.  There is reason to suspect that the resulting linking stock market performance with presidential affiliation maybe spurious...  In particular, two key events are responsible for much of the differential return under Democratic and Republican presidents.  Specifically, the fact that Republicans were president during the two great crashes beginning in 1929 and 2008 and, not surprisingly, Democrats were president during the subsequent recoveries explains a majority of the differential.  This suggests the finding may be serendipity. To study this possibility, we turn to international data for five major countries as out-of-sample test: Australia, Canada, Germany, France and the United Kingdom.  Consistent with the suspicion that the U.S. results are spurious, we find no systematic relationship between the party in power and stock market returns.",
Four Facts About ESG Beliefs and Investor Portfolios,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4415012,04/11/2023 18:52,06/07/2024 11:06,randomForestClassifier,"Stefano Giglio, Matteo Maggiori, Johannes Stroebel, Zhenhao Tan, Stephen P. Utkus, Xiao Xu","We analyze survey data on ESG beliefs and preferences in a large panel of retail investors linked to administrative data on their investment portfolios. The survey elicits investors’ expectations of long-term ESG equity returns and asks about their motivations, if any, to invest in ESG assets. We document four facts. First, investors generally expected ESG investments to underperform the market. Between mid-2021 and late-2022, the average expected 10-year annualized return of ESG investments relative to the overall stock market was −1.4%. Second, there is substantial heterogeneity across investors in their ESG return expectations and their motives for ESG investing: 45% of survey respondents do not see any reason to invest in ESG, 25% are primarily motivated by ethical considerations, 22% are driven by climate hedging motives, and 7% are motivated by return expectations. Third, there is a link between individuals’ reported ESG investment motives and their actual investment behaviors, with the highest ESG portfolio holdings among individuals who report ethics-driven investment motives. Fourth, financial considerations matter independently of other investment motives: we find meaningful ESG holdings only for investors who expect these investments to outperform the market, even among those investors who reported that their most important ESG investment motives were ethical or hedging reasons.",
Inspecting the Mechanism of Quantitative Easing in the Euro Area,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2836353,09/09/2016 15:37,06/07/2024 11:05,randomForestClassifier,"Ralph S. J. Koijen, Francois Koulischer, Beno&icirc;t Nguyen, Motohiro Yogo","Using security-level holdings for all euro-area investors, we study portfolio rebalancing during the quantitative easing program from March 2015 to December 2017. Foreign investors outside the euro area accommodated most of the Eurosystem’s purchases. Duration, government credit, and corporate credit risk did not get concentrated in particular regions or investor sectors. We estimate a demand system for government bonds by instrumental variables to relate portfolio rebalancing to yield changes. Government bond yields decreased by 65 basis points on average, and this estimate varies from 38 to 83 basis points across countries.",
Financial Globalization and the Rise of IPOs Outside the U.S.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2118624,07/29/2012 00:00,06/07/2024 11:03,randomForestClassifier,"Craig Doidge, George Andrew Karolyi, Ren&eacute; M. Stulz","From 1990 to 2011, the share of the world’s initial public offering (IPO) activity outside the U.S. increased with financial globalization. In the 1990s, when financial globalization was lower, there were 0.37 U.S. IPOs for each non-U.S. IPO compared to only 0.12 in the 2000s. Consistent with theoretical predictions, we find that greater financial globalization is associated with a decrease in the importance of national institutions as determinants of a country’s domestic IPO activity. One reason for this decrease is that greater financial globalization makes it easier for firms going public to access foreign capital markets and use foreign institutions. As a result, a large part of the increase in non-U.S. IPO activity occurred through an increase in global IPOs by both small and large firms. U.S. IPO activity did not benefit from increased financial globalization and, consequently, the U.S. share of world IPOs fell. It did so most dramatically for small-firm IPOs, for which its market share fell from 31% in the 1990s to 5% in the 2000s. Our evidence highlights the role of financial globalization in explaining the drop in the U.S. share but it also suggests that some of the drop is due to U.S.-specific factors.",
Treasury Inconvenience Yields During the Covid-19 Crisis,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3632643,06/22/2020 22:13,06/07/2024 11:05,randomForestClassifier,"Zhiguo He, Stefan Nagel, Zhaogang Song","In sharp contrast to most previous crisis episodes, the Treasury market experienced severe stress and illiquidity during the COVID-19 crisis, raising concerns that the safe-haven status of U.S. Treasuries may be eroding. We document large shifts in Treasury ownership and temporary accumulation of Treasury and reverse repo positions on dealer balance sheets during this period. We build a dynamic equilibrium asset pricing model in which dealers subject to regulatory balance sheet constraints intermediate demand/supply shocks from habitat agents and provide repo financing to levered investors. The model predicts that Treasury inconvenience yields, measured as the spread between Treasuries and overnight-index swap rates (OIS), as well as spreads between dealers’ reverse repo and repo rates, should be highly positive during the COVID-19 crisis, which are confirmed in the data. The same model framework, adapted to the institutional setting in 2007-2009, also helps explain the negative Treasury-OIS spread observed during the Great Recession.",
Commodity Futures: A Japanese Perspective,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=924340,08/15/2006 00:00,06/07/2024 11:06,randomForestClassifier,"Gary B. Gorton, Fumio Hayashi, K. Geert Rouwenhorst","We study the basic properties of an equally-weighted index of U.S. commodity futures from the perspective of a Japanese investor. We find that the returns on the U.S. equally-weighted commodity futures index maintain their basic properties, documented in Gorton and Rouwenhorst (2005), when translated into Yen. In particular, looking at returns on Japanese stocks and bonds, the commodity futures index, translated into Yen, continues to display equity-like returns, but with slightly less volatility. In addition, the Yen-based commodity futures returns show essentially zero correlation with Japanese equities and negative correlation with bonds.",
Reimagining Index Funds,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4591461,10/31/2023 19:45,06/07/2024 11:06,randomForestClassifier,"Robert D. Arnott, Chris Brightman, Xi Liu, Que Nguyen","“Gold-standard” cap-weighted indices have a buy-high and sell-low dynamic that causes a structural long-term performance drag. Of course, relative to itself, no index can underperform, which is the reason it goes unnoticed. If we use a company’s fundamentals to choose stocks—and then cap-weights them – improves the risk-adjusted returns of gold-standard cap-weighted indices. This index, which we call Fundamental-selection Cap-weighted (FS-CW), has outperformed the most popular cap-weighted equity indices around the world over the last 30 years, while reducing risk, and with additional benefits of slightly lower turnover and transaction costs. Live results further support its merits. Building a better index fund that can earn a superior risk-adjusted return versus other cap-weighted indices is not only possible—it is a reality!",
The Wealth-Consumption Ratio,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2153454,09/28/2012 17:12,06/07/2024 11:05,randomForestClassifier,"Hanno N. Lustig, Stijn Van Nieuwerburgh, Adrien Verdelhan","We derive new estimates of total wealth, the returns on total wealth, and the wealth effect on consumption. We estimate the prices of aggregate risk from bond yields and stock returns using a no-arbitrage model. Using these risk prices, we compute total wealth as the price of a claim to aggregate consumption. We find that US households have a surprising amount of total wealth, most of it human wealth. This wealth is much less risky than stock market wealth. Events in long-term bond markets, not stock markets, drive most total wealth fluctuations. The wealth effect on consumption is small and varies over time with real interest rates.",
The Market for Crash Risk,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=334941,09/30/2002 00:00,06/07/2024 11:04,randomForestClassifier,David S. Bates,"This paper examines the equilibrium when negative stock market jumps (crashes) can occur, and investors have heterogeneous attitudes towards crash risk. The less crash-averse insure the more crash-averse through the options markets that dynamically complete the economy. The resulting equilibrium is compared with various option pricing anomalies reported in the literature: the tendency of stock index options to overpredict volatility and jump risk, the Jackwerth (2000) implicit pricing kernel puzzle, and the stochastic evolution of option prices. The specification of crash aversion is compatible with the static option pricing puzzles, while heterogeneity partially explains the dynamic puzzles. Heterogeneity also magnifies substantially the stock market impact of adverse news about fundamentals.",
Do Peso Problems Explain the Returns to the Carry Trade?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1596287,04/27/2010 00:00,06/07/2024 11:05,randomForestClassifier,"A. Craig Burnside, Martin Eichenbaum, Isaac Kleshchelski, Sergio T. Rebelo","We study the properties of the carry trade, a currency speculation strategy in which an investor borrows low-interest-rate currencies and lends high-interest-rate currencies. This strategy generates payoffs which are on average large and uncorrelated with traditional risk factors. We investigate whether these payoffs reflect a peso problem. We argue that they do. We reach this conclusion by analyzing the payoffs to the hedged carry trade, in which an investor uses currency options to protect himself from the downside risk from large, adverse movements in exchange rates",
How Real Option Disinvestment Flexibility Augments Project Npv,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=516124,03/14/2004 00:00,06/07/2024 11:04,randomForestClassifier,"Aneel Keswani, Mark B. Shackleton",In this article we show how a project's option value increases with incremental levels of investment and dis-investment flexibility. We do this by presenting two NPV and seven option pricing models in a strict sequence of increasing flexibility. We illustrate each with numerical examples and determine the maximum value that a project option could ever support. We show that managerial consideration of exit options at the time of project initiation can add value.,
Latent Variable Approach to Modelling Dependence of Credit Risks: Application to French Firms and Implications for Regulatory Capital,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=757344,07/18/2005 00:00,06/07/2024 11:06,randomForestClassifier,"Sandra Foulcher, Christian Gourieroux, Andr&eacute; Tiomo","This paper extends the analysis in Migration Correlation: Estimation Method and Application to the French Companies Rated by the Banque de France and provides a methodology for valuing dependent defaults based on the latent variable approach. This methodology underlies all models derived from the Merton's structural model and includes in particular the Basel II proposition. The latent correlation is calibrated by developing factor models that relate changes in unobservable variable to changes in a small number of economic factors. Our model exploits the relationship between the default correlation and the latent correlation throughout the joint probability of default. Using a comprehensive rating database managed by the Banque de France, we employ this relationship to calibrate latent correlations and finally to compute credit risk charges at a portfolio level.",
Illiquidity and Stock Returns II: Cross-Section and Time-Series Effects,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3139180,03/19/2018 16:41,06/07/2024 11:04,randomForestClassifier,"Yakov Amihud, Joonki Noh","Lou and Shu decompose Amihud’s illiquidity measure (ILLIQ) proposing that its component, the average of inverse dollar trading volume (IDVOL), is sufficient to explain the pricing of illiquidity. Their decomposition misses a component of ILLIQ that is related to illiquidity. We find that this component affects stock returns significantly, both in the cross-section and in time-series. We show that the ILLIQ premium is significantly positive after controlling for mispricing, sentiment, and seasonality. In addition, the aggregate market ILLIQ outperforms market IDVOL in estimating the effect of market illiquidity shocks on realized stock returns.",
Sorting Out Downside Beta,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1980614,01/06/2012 00:00,06/07/2024 11:05,randomForestClassifier,"Thierry Post, Pim van Vliet, Simon Lansdorp","This study analyzes various measures of the downside beta of stocks. Downside beta is sometimes defined and estimated in different ways. Theoretically, an approach based on the mean-semi-variance equilibrium model appears superior. Two known alternative approaches are not consistent with the basic principles of coherent risk measures and the properties of a well-behaved pricing kernel. Moreover, to achieve superior out-of-sample predictive power, it is essential to estimate the downside beta definition that follows from the theory. Using monthly stock-level data, the downside beta premium, if properly defined and estimated, is roughly four to seven percent per annum, depending on the model specification and sample period, compared with a premium of zero to three percent for regular market beta.",
Identifying Sources of Correlation in Global Equity Portfolios (September 2010),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1708255,11/14/2010 00:00,06/07/2024 11:03,randomForestClassifier,MSCI Inc.,"With 153 factors, the Barra Global Equity Model (GEM2) provides a rich and granular view of the global equity space and the main sources of return and risk.  However, having 153 factors leads to 11,628 unique correlations/covariances between factors, which makes it a challenge for managers to assess correlations in a meaningful way.   In this Research Bulletin, we show how the correlation (covariance) information can be aggregated into groups, such as diagonal and off-diagonal blocks based on factor types. We also show an even more intuitive way to understand which factors carry the most risk by using the X-Sigma-Rho attribution framework proposed by Davis and Menchero (2010).",
"Market Volatility, Liquidity Shocks, and Stock Returns: Worldwide Evidence",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3067801,11/13/2017 08:39,06/07/2024 11:03,randomForestClassifier,"Rui Ma, Hamish D. Anderson, Ben R. Marshall","We examine the interaction between market volatility, liquidity shocks, and stock returns in 41 countries over the period 1990–2015. We find liquidity is an important channel through which market volatility affects stock returns in international markets and we show this is distinct from the direct volatility–return relation. The influence of the liquidity channel on the link between market volatility and returns is stronger in markets exhibiting higher levels of market volatility and lower trading volume. It is also stronger in countries with better governance, no short-selling constraints, and more high-frequency trading and during crisis periods.",
Political News and Stock Prices: The Case of Saddam Hussein Contracts,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1296368,11/07/2008 00:00,06/07/2024 11:04,randomForestClassifier,"Yakov Amihud, Avi Wohl","This paper studies the association between the market s expectations of Saddam Hussein's fall from power, reflected in Saddam contract prices, and stock prices, oil prices and exchange rates. During the war, a rise in the probability of Saddam's fall, which also indicated a speedy end to the war, was positively and significantly associated with stock prices, strengthened the dollar against the Euro, and lowered oil prices. Before the war, a rise in the probability of Saddam's fall, which may have also indicated the probability of a costly war breaking out, lowered stock prices, which adjustment gradually to this information.",
Extreme Risk Management,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1341363,02/12/2009 00:00,06/07/2024 11:05,randomForestClassifier,"Lisa R. Goldberg, Michael Y. Hayes, Jose Menchero, Indrajit Mitra","Quantitative risk management relies on a constellation of tools that are used to analyze portfolio risk. We develop the standard toolkit, which includes betas, risk budgets and correlations, in a general, coherent, mnemonic framework centered around marginal risk contributions. We apply these tools to generate side-by-side analyses of volatility and expected shortfall, which is a measure of average portfolio excess of value-at-risk. We focus on two examples whose importance is highlighted by the current economic crisis. By examining downside protection provided by an out-of-the-money put option we show that the diversification benefit of the option is greater for a risk measure that is more highly concentrated in the tail of the distribution. By comparing two-asset portfolios that are distinguished only by the likelihood of coincident extreme events, we show that expected shortfall measures market contagion in a way that volatility cannot.",
The Evolution of Earnings Management and Firm Valuation: A Cross-Country Analysis,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=965636,02/27/2007 00:00,06/07/2024 11:05,randomForestClassifier,"Nuno Fernandes, Miguel A. Ferreira","We investigate the determinants of earnings management and its implications for firm value for more than 24,000 firms in 43 countries for the 1990-2003 period. We find that firm characteristics explain at least as much of the variation in earnings management as country characteristics, and that firm characteristics become relatively more important at the turn of the 20th century. Investment opportunities, dependence on external finance, ownership dispersion, cash holdings, and greater visibility and access to global financial markets tend to decrease earnings management, as firms adopt more rigorous standards when they can benefit the most from them. We find a link between earnings management and firm valuation: a move from the 75th to the 25th percentile of earnings management is associated with an increase in Tobin's Q of 16%. The negative relation between earnings management and firm valuation is found to be particularly strong at the turn of the 20th century and for firms with strong investment opportunities and need of external finance.",
Corporate Social Responsibility,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4267476,11/17/2022 16:30,06/07/2024 11:05,randomForestClassifier,"Harrison G. Hong, Edward P. Shore","Is shareholder interest in corporate social responsibility driven by pecuniary motives (abnormal rates of return) or non-pecuniary ones (willingness to sacrifice returns to address various firm externalities)? To answer this question, we categorize the literature into seven tests: (1) costs of capital, (2) performance of portfolios, (3) ownership by types of institutions, (4) surveys and experiments, (5) managerial motives, (6) shareholder proposals, and (7) firm inclusion in responsibility indices. These tests and the most recent proposals data predominantly indicate that shareholders are driven by non-pecuniary motives. To stimulate further research on welfare implications for global warming, we assess whether estimates of the returns shareholders are willing to sacrifice (or, 'greeniums'), along with the increasing amounts of assets pledged to firms that become sustainable, are consistent with the growth of aggregate investments in the decarbonization sector.",
FX Market Metrics: New Findings Based on Cls Bank Settlement Data,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2938706,03/22/2017 14:01,06/07/2024 16:31,randomForestClassifier,"Joel Hasbrouck, Richard M. Levich","Using a new and unique data set of foreign currency settlement instructions provided by CLS Bank, we investigate activity and liquidity in the foreign exchange market. In the major currency pairs, CLS settlement volume shares are similar to those reported in the BIS triennial surveys. They are also similar to shares computed from EBS trade data reported by Mancini, Ranaldo and Wrampelmeyer (2013) (MRW), but only for currency pairs that do not belong to the “UK Commonwealth” pairs, for which EBS coverage is limited.We estimate Amihud (2002) illiquidity ratios from CLS submissions and Olsen price records, and examine the correlations between these ratios and price impact estimates based on high frequency EBS data and reported by MRW. The correlation is 0.748, but with marginal statistical significance and only when the commonwealth pairs are excluded from the analysis. When the commonwealth pairs are included, the correlation drops to -0.130 (insignificant). We believe that, as with the volume estimates, this reflects EBS’ limited coverage of the commonwealth currency pairs. The common liquidity factor in our illiquidity ratios constructed from all major pairs is highly correlated, however, with the factor based only on non-commonwealth pairs, suggesting that liquidity factors constructed from EBS data may be good proxies for factors based on broader samples.Our data include numerical identifiers for counterparties to each trade which allows us to estimate market concentration by currency pair. We find that trading is more concentrated (across participants) in less actively traded currencies, which typically exhibit lower liquidity.",
Correlations in Price Changes and Volatility Across International Stock Markets,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=886547,02/28/2006 00:00,06/07/2024 16:34,randomForestClassifier,"Yasushi Hamao, Ronald W. Masulis, Victor Ng","The short-run interdependence of prices and price volatility across three major international stock markets is studied. Daily opening and closing prices of major stock indexes for the Tokyo, London, and New York stock markets are examined. The analysis utilizes the autoregressive conditionally heteroskedastic (ARCH family of statistical models to explore these pricing relationships. Evidence of price volatility spillovers from New York to Tokyo, London to Tokyo, and New, York to London is observed but no price volatility spillover effects in other directions are found for the pre-October 1987 period.",
The Permanent Income Hypothesis and Consumption Durability: Analysis Based on Japanese Panel Data,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=321343,07/16/2004 09:27,06/07/2024 16:37,randomForestClassifier,Fumio Hayashi,"The permanent income hypothesis is tested on a four-quarter panel of about two thousand Japanese households for ten commodity groups. Consumption is a distributed lag function of expenditures, and the utility function is additively separable in time. Durability is defined as the persistence of the distributed lag. The permanent income hypothesis implies that, for each commodity group, expected change in expenditures is correlated neither with past expenditure changes on other commodities nor with expected change indisposable income, if its own lags are controlled for. The main results are the following: (1) durability is substantial even for food and services, (2)the permanent income hypothesis applies to almost all (probably more than ninety percent) of the population, and (3) the habit persistence hypothesis is rejected in favor of the permanent income hypothesis.",
